date,Face_Masks_Required_in_Public
5/20/2021,Yes
5/21/2021,Yes
5/22/2021,Yes
5/23/2021,Yes
5/24/2021,Yes
5/25/2021,Yes
5/26/2021,Yes
5/27/2021,Yes
5/28/2021,Yes
5/29/2021,Yes
5/30/2021,Yes
5/31/2021,Yes
6/1/2021,Yes
6/2/2021,Yes
6/3/2021,Yes
6/4/2021,Yes
6/5/2021,Yes
6/6/2021,Yes
6/7/2021,Yes
6/8/2021,Yes
6/9/2021,Yes
6/10/2021,Yes
6/11/2021,Yes
6/12/2021,Yes
6/13/2021,Yes
6/14/2021,Yes
6/15/2021,Yes
6/16/2021,Yes
6/17/2021,Yes
6/18/2021,Yes
6/19/2021,Yes
6/20/2021,Yes
6/21/2021,Yes
6/22/2021,Yes
6/23/2021,Yes
6/24/2021,Yes
6/25/2021,Yes
6/26/2021,Yes
6/27/2021,Yes
6/28/2021,Yes
6/29/2021,Yes
6/30/2021,Yes
7/1/2021,Yes
7/2/2021,Yes
7/3/2021,Yes
7/4/2021,Yes
7/5/2021,Yes
7/6/2021,Yes
7/7/2021,Yes
7/8/2021,Yes
7/9/2021,Yes
7/10/2021,Yes
7/11/2021,Yes
7/12/2021,Yes
7/13/2021,Yes
7/14/2021,Yes
7/15/2021,Yes
7/16/2021,Yes
7/17/2021,Yes
7/18/2021,Yes
7/19/2021,Yes
7/20/2021,Yes
7/21/2021,Yes
7/22/2021,Yes
7/23/2021,Yes
7/24/2021,Yes
7/25/2021,Yes
7/26/2021,Yes
7/27/2021,Yes
7/28/2021,Yes
7/29/2021,Yes
7/30/2021,Yes
7/31/2021,Yes
8/1/2021,Yes
8/2/2021,Yes
8/3/2021,Yes
8/4/2021,Yes
8/5/2021,Yes
8/6/2021,Yes
8/7/2021,Yes
8/8/2021,Yes
8/9/2021,Yes
8/10/2021,Yes
8/11/2021,Yes
8/12/2021,Yes
8/13/2021,Yes
8/14/2021,Yes
8/15/2021,Yes
